TRADEDATE,ADMITTEDQUOTE,ADMITTEDVALUE,BEICLOSE,BID,BOARDID,BOARDNAME,BUYBACKDATE,CBRCLOSE,CLOSE,CLOSEAUCTIONPRICE,CLOSEPERIOD,CLOSEVAL,COUPONPERCENT,COUPONVALUE,CURRENCYID,DAILYCAPITALIZATION,DECIMALS,FACEUNIT,FACEVALUE,HIGH,HIGHBID,IRICPICLOSE,ISIN,ISSUESIZE,LASTPRICE,LASTTRADEDATE,LEGALCLOSEPRICE,LEGALOPENPRICE,LISTNAME,LOW,LOWOFFER,MARKETPRICE,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3CUR,MARKETPRICE3TRADESVALUE,MARKETPRICE3TRADESVALUECUR,MONTHLYCAPITALIZATION,MP2VALTRD,MPVALTRD,NUMBID,NUMOFFER,NUMTRADES,OFFER,OFFERDATE,OPEN,OPENPERIOD,OPENVAL,PREV,PREVLEGALCLOSEPRICE,REGNUMBER,SECID,SHORTNAME,TRADINGSESSION,TRENDCLOSE,TRENDCLSPR,TRENDWAP,TRENDWAPPR,TYPE,VALUE,VOLUME,WAPRICE,WAVAL,YIELDLASTCOUPON,YIELDTOOFFER
2018-09-14,,,,,EQRP,,,,7.5,,,,,,,,,,,7.5,,,,,,,,,,6.26,,,,,,,,,,,,,32.0,,,7.1,,,,,,MGNT,Магнит ао,3.0,,,,,,1664316248.13,,7.21,,,
2018-09-14,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-15.0,,,,,,,,,,,,,34.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,50163335.99,,0.0,,,
2018-09-17,,,,,EQRP,,,,6.31,,,,,,,,,,,7.45,,,,,,,,,,6.31,,,,,,,,,,,,,19.0,,,7.13,,,,,,MGNT,Магнит ао,3.0,,,,,,225348397.55,,7.35,,,
2018-09-17,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,36.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,59806182.4,,0.0,,,
2018-09-18,,,,,EQRP,,,,7.3,,,,,,,,,,,7.38,,,,,,,,,,6.26,,,,,,,,,,,,,23.0,,,7.22,,,,,,MGNT,Магнит ао,3.0,,,,,,1316999988.36,,7.26,,,
2018-09-18,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-10.43,,,,,,,,,,,,,29.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,51374305.67,,0.0,,,
2018-09-19,,,,,EQRP,,,,6.29,,,,,,,,,,,7.37,,,,,,,,,,6.26,,,,,,,,,,,,,34.0,,,7.2,,,,,,MGNT,Магнит ао,3.0,,,,,,2165814271.75,,6.9,,,
2018-09-19,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,27.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,68891153.82,,0.0,,,
2018-09-20,,,,,EQRP,,,,7.38,,,,,,,,,,,7.38,,,,,,,,,,7.16,,,,,,,,,,,,,21.0,,,7.2,,,,,,MGNT,Магнит ао,3.0,,,,,,1158182105.91,,7.18,,,
2018-09-20,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-10.39,,,,,,,,,,,,,29.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,57364222.69,,0.0,,,
2018-09-21,,,,,EQRP,,,,7.03,,,,,,,,,,,7.38,,,,,,,,,,7.03,,,,,,,,,,,,,13.0,,,7.2,,,,,,MGNT,Магнит ао,3.0,,,,,,144497597.05,,7.3,,,
2018-09-21,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,38.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,65797913.17,,0.0,,,
2018-09-24,,,,,EQRP,,,,7.25,,,,,,,,,,,7.47,,,,,,,,,,7.2,,,,,,,,,,,,,32.0,,,7.2,,,,,,MGNT,Магнит ао,3.0,,,,,,1916820798.97,,7.27,,,
2018-09-24,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-10.48,,,,,,,,,,,,,45.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,65430140.67,,0.0,,,
2018-09-25,,,,,EQRP,,,,7.5,,,,,,,,,,,7.51,,,,,,,,,,7.19,,,,,,,,,,,,,33.0,,,7.22,,,,,,MGNT,Магнит ао,3.0,,,,,,1262627465.45,,7.43,,,
2018-09-25,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,43.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,102968632.75,,0.0,,,
2018-09-26,,,,,EQRP,,,,6.5,,,,,,,,,,,7.9,,,,,,,,,,6.5,,,,,,,,,,,,,72.0,,,7.34,,,,,,MGNT,Магнит ао,3.0,,,,,,3418573423.6,,7.59,,,
